Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
,,,,,,,,,,,,,,,,,,,,
2021,New York Mets,NL East,162,77,85,0,.475,.478,3rd of 5,11.5,,636,668,1511926,28.2,29.5,64,42,J.deGrom (5.0),L.Rojas (77-85)
2020,New York Mets,NL East,60,26,34,0,.433,.466,4th of 5,9.0,,286,308,,27.7,29.2,47,25,J.deGrom (2.7),L.Rojas (26-34)
2019,New York Mets,NL East,162,86,76,0,.531,.532,3rd of 5,11.0,,791,737,2442532,27.9,28.6,53,30,J.deGrom (8.4),M.Callaway (86-76)
2018,New York Mets,NL East,162,77,85,0,.475,.479,4th of 5,13.0,,676,707,2224995,28.4,28.0,56,30,J.deGrom (10.4),M.Callaway (77-85)
2017,New York Mets,NL East,162,70,92,0,.432,.427,4th of 5,27.0,,735,863,2460622,28.9,27.5,52,29,J.deGrom (4.6),T.Collins (70-92)
2016,New York Mets,NL East,162,87,75,0,.537,.538,2nd of 5,8.0,Lost NLWC (1-0),671,617,2789602,29.5,28.4,46,22,N.Syndergaard (5.7),T.Collins (87-75)
2015,New York Mets,NL East,162,90,72,0,.556,.549,1st of 5,--,Lost WS (4-1),683,613,2569753,28.6,28.2,49,26,J.deGrom (5.5),T.Collins (90-72)
2014,New York Mets,NL East,162,79,83,0,.488,.508,2nd of 5,17.0,,629,618,2148808,28.4,28.9,45,22,J.Lagares (5.2),T.Collins (79-83)
2013,New York Mets,NL East,162,74,88,0,.457,.454,3rd of 5,22.0,,619,684,2135657,28.3,29.1,53,29,D.Wright (5.2),T.Collins (74-88)
2012,New York Mets,NL East,162,74,88,0,.457,.460,4th of 5,24.0,,650,709,2242803,27.9,30.3,49,28,D.Wright (7.1),T.Collins (74-88)
2011,New York Mets,NL East,162,77,85,0,.475,.485,4th of 5,25.0,,718,742,2352596,28.0,30.0,46,23,J.Reyes (4.6),T.Collins (77-85)
2010,New York Mets,NL East,162,79,83,0,.488,.503,4th of 5,18.0,,656,652,2559738,28.4,29.5,47,20,A.Pagan (5.3),J.Manuel (79-83)
2009,New York Mets,NL East,162,70,92,0,.432,.445,4th of 5,23.0,,671,757,3168571,29.5,29.2,53,24,A.Pagan (4.0),J.Manuel (70-92)
2008,New York Mets,NL East,162,89,73,0,.549,.551,2nd of 5,3.0,,799,715,4042045,30.1,29.0,50,24,J.Santana (7.2),W.Randolph (34-35) and J.Manuel (55-38)
2007,New York Mets,NL East,162,88,74,0,.543,.532,2nd of 5,1.0,,804,750,3853955,30.7,31.3,49,24,D.Wright (8.3),W.Randolph (88-74)
2006,New York Mets,NL East,162,97,65,0,.599,.560,1st of 5,--,Lost NLCS (4-3),834,731,3379535,30.2,32.2,49,27,C.Beltran (8.2),W.Randolph (97-65)
2005,New York Mets,NL East,162,83,79,0,.512,.549,3rd of 5,7.0,,722,648,2829929,28.8,31.9,42,22,P.Martinez (6.5),W.Randolph (83-79)
2004,New York Mets,NL East,162,71,91,0,.438,.470,4th of 5,25.0,,684,731,2318951,29.8,32.5,52,26,A.Leiter (4.7),A.Howe (71-91)
2003,New York Mets,NL East,161,66,95,0,.410,.427,5th of 5,34.5,,642,754,2140599,29.3,31.6,50,25,S.Trachsel (4.4),A.Howe (66-95)
2002,New York Mets,NL East,161,75,86,0,.466,.491,5th of 5,26.5,,690,703,2804838,30.6,30.3,48,25,E.Alfonzo (5.0),B.Valentine (75-86)
2001,New York Mets,NL East,162,82,80,0,.506,.452,3rd of 5,6.0,,642,713,2658330,30.4,31.1,44,22,M.Piazza (4.5),B.Valentine (82-80)
2000,New York Mets,NL East,162,94,68,0,.580,.541,2nd of 5,1.0,Lost WS (4-1),807,738,2820530,30.4,31.0,47,20,E.Alfonzo (6.4),B.Valentine (94-68)
1999,New York Mets,NL East,163,97,66,0,.595,.583,2nd of 5,6.5,Lost NLCS (4-2),853,711,2725668,30.1,32.7,45,23,R.Ventura (6.7),B.Valentine (97-66)
1998,New York Mets,NL East,162,88,74,0,.543,.541,2nd of 5,18.0,,706,645,2287948,28.9,31.7,49,20,J.Olerud (7.6),B.Valentine (88-74)
1997,New York Mets,NL East,162,88,74,0,.543,.542,3rd of 5,13.0,,777,709,1766174,27.3,29.4,45,21,E.Alfonzo (6.2),B.Valentine (88-74)
1996,New York Mets,NL East,162,71,91,0,.438,.480,4th of 5,25.0,,746,779,1588323,27.2,27.4,40,17,B.Gilkey (8.1),D.Green (59-72) and B.Valentine (12-19)
1995,New York Mets,NL East,144,69,75,0,.479,.528,2nd of 5,21.0,,657,618,1273183,27.4,27.2,45,22,J.Kent (3.2),D.Green (69-75)
1994,New York Mets,NL East,113,55,58,0,.487,.482,3rd of 5,18.5,,506,526,1151471,27.8,28.6,37,18,B.Saberhagen (5.7),D.Green (55-58)
1993,New York Mets,NL East,162,59,103,0,.364,.454,7th of 7,38.0,,672,744,1873183,29.4,29.2,41,19,D.Gooden (4.1),J.Torborg (13-25) and D.Green (46-78)
1992,New York Mets,NL East,162,72,90,0,.444,.461,5th of 6,24.0,,599,653,1779534,30.0,28.2,44,19,S.Fernandez (6.3),J.Torborg (72-90)
1991,New York Mets,NL East,161,77,84,0,.478,.496,5th of 6,20.5,,640,646,2284484,29.1,28.0,40,18,D.Cone (4.3),B.Harrelson (74-80) and M.Cubbage (3-4)
1990,New York Mets,NL East,162,91,71,0,.562,.606,2nd of 6,4.0,,775,613,2732745,27.5,28.0,44,15,D.Strawberry (6.3),D.Johnson (20-22) and B.Harrelson (71-49)
1989,New York Mets,NL East,162,87,75,0,.537,.563,2nd of 6,6.0,,683,595,2918710,27.5,27.5,42,20,H.Johnson (6.9),D.Johnson (87-75)
1988,New York Mets,NL East,160,100,60,0,.625,.625,1st of 6,--,Lost NLCS (4-3),703,532,3055445,27.8,26.6,32,15,D.Cone (5.7),D.Johnson (100-60)
1987,New York Mets,NL East,162,92,70,0,.568,.575,2nd of 6,3.0,,823,698,3034129,28.0,25.8,39,18,D.Strawberry (6.4),D.Johnson (92-70)
1986,New York Mets,NL East,162,108,54,0,.667,.635,1st of 6,--,Won WS (4-3),783,578,2767601,28.0,25.5,36,15,K.Hernandez (5.5),D.Johnson (108-54)
1985,New York Mets,NL East,162,98,64,0,.605,.591,2nd of 6,3.0,,695,568,2761601,28.1,24.7,38,17,D.Gooden (13.3),D.Johnson (98-64)
1984,New York Mets,NL East,162,90,72,0,.556,.483,2nd of 6,6.5,,652,676,1842695,27.2,25.2,40,16,K.Hernandez (6.3),D.Johnson (90-72)
1983,New York Mets,NL East,162,68,94,0,.420,.424,6th of 6,22.0,,575,680,1112774,27.7,29.2,40,15,K.Hernandez (4.4),G.Bamberger (16-30) and F.Howard (52-64)
1982,New York Mets,NL East,162,65,97,0,.401,.422,6th of 6,27.0,,609,723,1323036,28.7,27.5,40,18,J.Stearns (3.8),G.Bamberger (65-97)
1981,New York Mets,NL East,105,41,62,2,.398,.402,5th of 6,18.5,,348,432,704244,28.3,27.5,38,19,H.Brooks (2.6),J.Torre (41-62)
1980,New York Mets,NL East,162,67,95,0,.414,.437,5th of 6,24.0,,611,702,1192073,27.4,26.5,40,17,L.Mazzilli (3.3),J.Torre (67-95)
1979,New York Mets,NL East,163,63,99,1,.389,.421,6th of 6,35.0,,593,706,788905,27.6,26.5,39,20,L.Mazzilli (4.9),J.Torre (63-99)
1978,New York Mets,NL East,162,66,96,0,.407,.442,6th of 6,24.0,,607,690,1007328,27.1,27.5,36,16,C.Swan (5.5),J.Torre (66-96)
1977,New York Mets,NL East,162,64,98,0,.395,.445,6th of 6,37.0,,587,663,1066825,27.0,27.2,40,16,L.Randle (4.2),J.Frazier (15-30) and J.Torre (49-68)
1976,New York Mets,NL East,162,86,76,0,.531,.561,3rd of 6,15.0,,615,538,1468754,28.6,29.4,37,13,T.Seaver (5.2),J.Frazier (86-76)
1975,New York Mets,NL East,162,82,80,0,.506,.515,3rd of 6,10.5,,646,625,1730566,28.6,27.0,37,16,T.Seaver (8.2),Y.Berra (56-53) and R.McMillan (26-27)
1974,New York Mets,NL East,162,71,91,0,.438,.445,5th of 6,17.0,,572,646,1722209,27.8,28.2,37,16,J.Matlack (8.7),Y.Berra (71-91)
1973,New York Mets,NL East,161,82,79,0,.509,.515,1st of 6,--,Lost WS (4-3),608,588,1912390,27.9,27.2,40,16,T.Seaver (11.0),Y.Berra (82-79)
1972,New York Mets,NL East,156,83,73,0,.532,.459,3rd of 6,13.5,,528,578,2134185,27.3,26.1,34,14,J.Matlack (6.1),Y.Berra (83-73)
1971,New York Mets,NL East,162,83,79,0,.512,.531,3rd of 6,14.0,,588,550,2266680,26.6,26.1,34,13,T.Seaver (10.9),G.Hodges (83-79)
1970,New York Mets,NL East,162,83,79,0,.512,.545,3rd of 6,6.0,,695,630,2697479,26.5,26.1,34,14,T.Seaver (6.4),G.Hodges (83-79)
1969,New York Mets,NL East,162,100,62,0,.617,.571,1st of 6,--,Won WS (4-1),632,541,2175373,25.9,25.8,35,15,T.Seaver (7.2),G.Hodges (100-62)
1968,New York Mets,NL,163,73,89,1,.451,.476,9th of 10,24.0,,473,499,1781657,26.0,26.1,34,14,T.Seaver (7.0),G.Hodges (73-89)
1967,New York Mets,NL,162,61,101,0,.377,.366,10th of 10,40.5,,498,672,1565492,25.8,26.3,54,27,T.Seaver (6.7),W.Westrum (57-94) and S.Parker (4-7)
1966,New York Mets,NL,161,66,95,0,.410,.383,9th of 10,28.5,,587,761,1932693,26.9,26.0,42,19,D.Ribant (3.5),W.Westrum (66-95)
1965,New York Mets,NL,164,50,112,2,.309,.318,10th of 10,47.0,,495,752,1768389,26.5,27.3,43,20,J.Lewis (2.4),C.Stengel (31-64) and W.Westrum (19-48)
1964,New York Mets,NL,163,53,109,1,.327,.362,10th of 10,40.0,,569,776,1732597,26.9,26.1,41,20,R.Hunt (3.2),C.Stengel (53-109)
1963,New York Mets,NL,162,51,111,0,.315,.311,10th of 10,48.0,,501,774,1080108,27.5,27.6,40,13,C.Willey (4.2),C.Stengel (51-111)
1962,New York Mets,NL,161,40,120,1,.250,.313,10th of 10,60.5,,617,948,922530,29.1,26.7,45,17,R.Craig (2.5),C.Stengel (40-120)